switch_score_buffer,min_regime_history,top_n,max_monthly_turnover,turnover_metric_warmup_months,median_rolling_sharpe_difference,turnover_instability_score,allocation_complexity_score,selection_score,passes_turnover_stability,research_start,research_end,research_months,strategy_sharpe,average_turnover,turnover_p90,turnover_p95,high_turnover_month_share,turnover_volatility,rolling_12m_average_turnover_max
0.2,24,3,0.25,12,-0.8087020983189652,0.45558872624550595,0.0,-1.0364964614417183,False,2008-05-31,2021-12-31,164,0.7234335476778059,0.032172471818992784,0.24999999999999997,0.25,0.03289473684210526,0.08161410755869682,0.20486646122239346
0.5,24,3,0.25,12,-0.8087020983189652,0.45558872624550595,0.0,-1.0364964614417183,False,2008-05-31,2021-12-31,164,0.7234335476778059,0.032172471818992784,0.24999999999999997,0.25,0.03289473684210526,0.08161410755869682,0.20486646122239346
1.0,12,3,0.2,12,-0.8949563007406678,0.3048015336068041,0.0,-1.0473570675440698,False,2008-05-31,2021-12-31,164,0.6041926732453431,0.09192322609337712,0.20000000000000007,0.20000000000000007,0.0,0.09790956149303735,0.1967247597001812
0.75,12,3,0.2,12,-0.8999637783569849,0.2973619200802341,0.0,-1.048644738397102,False,2008-05-31,2021-12-31,164,0.5907315618342633,0.09936283961994717,0.20000000000000007,0.20000000000000007,0.0,0.0979365648333495,0.1967247597001812
0.2,12,3,0.2,12,-0.9074616160024335,0.28368470145104785,0.0,-1.0493039667279573,False,2008-05-31,2021-12-31,164,0.5839099654205119,0.11631529854895226,0.20000000000000007,0.2000000000000001,0.0,0.09640109410230305,0.20000000000000004
0.75,24,3,0.25,12,-0.8582946513436258,0.4530732165544835,0.0,-1.0848312596208676,False,2008-05-31,2021-12-31,164,0.742506620650069,0.03052773497688752,0.2458397534668723,0.25,0.03289473684210526,0.07970447717789145,0.20486646122239346
1.0,24,3,0.25,12,-0.8582946513436258,0.4530732165544835,0.0,-1.0848312596208676,False,2008-05-31,2021-12-31,164,0.742506620650069,0.03052773497688752,0.2458397534668723,0.25,0.03289473684210526,0.07970447717789145,0.20486646122239346
1.0,36,3,0.25,12,-1.0092529318357764,0.21655701754385975,0.0,-1.1175314406077062,False,2008-05-31,2021-12-31,164,0.637410415004426,0.024671052631578948,1.20736753927986e-16,0.25,0.03289473684210526,0.0745593878726522,0.20833333333333334
0.2,24,3,0.2,12,-0.9494237284194481,0.3433244530523203,0.0,-1.1210859549456083,False,2008-05-31,2021-12-31,164,0.6393321896055819,0.05667554694767976,0.20000000000000004,0.20000000000000007,0.0,0.0888556741741598,0.19999999999999998
0.5,24,3,0.2,12,-0.9494237284194481,0.3433244530523203,0.0,-1.1210859549456083,False,2008-05-31,2021-12-31,164,0.6393321896055819,0.05667554694767976,0.20000000000000004,0.20000000000000007,0.0,0.0888556741741598,0.19999999999999998
